0 [1, 0, 3, 7, 5, 2, 6, 4, 9, 10, 11, 8]
c [1, 3, 0, 7, 5, 2, 6, 4, 9, 10, 11, 8]
d [1, 3, 7, 0, 5, 2, 6, 4, 9, 10, 11, 8]
h [1, 3, 7, 4, 5, 2, 6, 0, 9, 10, 11, 8]
l [1, 3, 7, 4, 5, 2, 6, 8, 9, 10, 11, 0]
k [1, 3, 7, 4, 5, 2, 6, 8, 9, 10, 0, 11]
g [1, 3, 7, 4, 5, 2, 0, 8, 9, 10, 6, 11]
c [1, 3, 0, 4, 5, 2, 7, 8, 9, 10, 6, 11]
d [1, 3, 4, 0, 5, 2, 7, 8, 9, 10, 6, 11] <--
h [1, 3, 4, 8, 5, 2, 7, 0, 9, 10, 6, 11]
l [1, 3, 4, 8, 5, 2, 7, 11, 9, 10, 6, 0]
k [1, 3, 4, 8, 5, 2, 7, 11, 9, 10, 0, 6]
g [1, 3, 4, 8, 5, 2, 0, 11, 9, 10, 7, 6]
c [1, 3, 0, 8, 5, 2, 4, 11, 9, 10, 7, 6]
d [1, 3, 8, 0, 5, 2, 4, 11, 9, 10, 7, 6]
